Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
20,Ca+,3D3/2,4S1/2,7.78,0.04,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
20,Ca+,3D5/2,4S1/2,9.56,0.04,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
20,Ca+,3D5/2,3D3/2,3.68,0.02,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
38,Sr+,4D3/2,5S1/2,11.01,0.04,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
38,Sr+,4D5/2,5S1/2,13.6,0.05,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
38,Sr+,4D5/2,4D3/2,5.9,0.02,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,5D3/2,6S1/2,12.49,0.11,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,5D5/2,6S1/2,15.65,0.14,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,5D5/2,5D3/2,6.65,0.06,CCSD,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, B. Arora, At. Data Nuc. Data Tab. 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
70,Yb+,6s,5d-,10.2,0.5,CCSD(T),2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",https://doi.org/10.1103/PhysRevA.84.010502,
70,Yb+,6s,5d+,12.9,0.7,CCSD(T),2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",https://doi.org/10.1103/PhysRevA.84.010502,
