Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
56,Ba+,5D3/2,,8.30E+10,1.00E+09,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,5D5/2,,3.08E+10,6.50E+08,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,6D3/2,,4.18,0.06,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,6D5/2,,4.43,0.07,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,6P1/2,,7.76,0.11,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,6P3/2,,6.22,0.09,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,7P1/2,,36,0.53,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,7P3/2,,27.33,0.32,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,7S1/2,,5.12,0.04,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,8P1/2,,91,2,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,8P3/2,,73.13,0.95,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
56,Ba+,8S1/2,,8.19,0.03,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,3D3/2,,1.24E+09,1.00E+07,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,3D5/2,,1.21E+09,1.00E+07,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,4P1/2,,6.87,0.06,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,4P3/2,,6.69,0.06,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,5S1/2,,3.91,0.02,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,4D3/2,,2.83,0.03,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,4D5/2,,2.85,0.03,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,5P1/2,,35.36,0.56,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,5P3/2,,34.74,0.5,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
40,Ca+,4F5/2,,3.55,0.05,CCSD,2021,"M. Kaur, D. F. Dar, B.K. Sahoo, B. Arora, At. Data Nucl. Data Tables 137 (2021) 101381",https://doi.org/10.1016/j.adt.2020.101381,
