Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
55,Cs,6p1/2,6s1/2,936,,CCSDpT + Expt,2004,"Safronova and Clark, Phys. Rev. A 69, 040501(R) (2004)",https://doi.org/10.1103/PhysRevA.69.040501,Differential
55,Cs,6p1/2,6s1/2,927.35,0.12,Expt,1992,"L. R. Hunter and others, Opt. Commun. 94, 210 (1992)",,Differential
55,Cs,6p1/2,,1404,24,CCSDpT + Expt,2004,"Safronova and Clark, Phys. Rev. A 69, 040501(R) (2004)",https://doi.org/10.1103/PhysRevA.69.040501,
55,Cs,6p3/2,6s1/2,1248,,CCSDpT + Expt,2004,"Safronova and Clark, Phys. Rev. A 69, 040501(R) (2004)",https://doi.org/10.1103/PhysRevA.69.040501,Differential
55,Cs,6p3/2,6s1/2,1240.2,2.4,Expt,1988,"C. E. Tanner and C. Wieman, Phys. Rev. A 38, 162 (1988).",,Differential
55,Cs,6p3/2,,1720,18,CCSDpT + Expt,2004,"Safronova and Clark, Phys. Rev. A 69, 040501(R) (2004)",https://doi.org/10.1103/PhysRevA.69.040501,
55,Cs,6s1/2,7s,5837,6,Expt,1999,"Bennett, Roberts and Wieman, Phys. Rev. A 59 R16 (1999)",,Differential
55,Cs,6s1/2,7s,5709,19,Expt,1983,"Watts, Gilbert and Wieman, Phys. Rev. A 27 2769 (1983)",,Differential
55,Cs,6s1/2,,398.2,0.9,CCSDpT + Expt,2004,"Safronova and Clark, Phys. Rev. A 69, 040501(R) (2004)",https://doi.org/10.1103/PhysRevA.69.040501,
55,Cs,6s1/2,,396.02,,RCCSDT,2005,"Lim, Schwerdtfeger, Metz and Stoll, J. Chem. Phys. 122 104103 (2005)",,
55,Cs,6s1/2,,398.4,0.7,RLCCSDT,2007,"Iskrenova-Tchoukova, Safronova and Safronova, J. Comput. Methods Sci. Eng. 7 521 (2007)",,
55,Cs,6s1/2,,401,0.6,Expt,2003,"J. M. Amini and H. Gould, Phys. Rev. Lett. 91, 153001 (2003)",,
55,Cs,7p1/2,,29.6,0.6,Expt,1983,"Domelunksen V, Opt. Spectrosk. 54 565 (1983)",,
55,Cs,7p3/2,,37.9,0.8,Expt,1968,"Khvostenko and Chaika, Opt. Spectrosk. 25 246 (1968)",,
70,Yb+,6s,,62.04,,RMBPTb,2009,"U. I. Safronova and M. S. Safronova, Phys. Rev. A 79, 022512 (2009)",https://dx.doi.org/10.1103/PhysRevA.79.022512,
55,Cs,7s1/2,,6.237,0.042,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs,8s1/2,,38.27,0.26,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs,9s1/2,,153.7,1,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs,10s1/2,,477.5,3.3,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
